frame_index,time_index,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,phi_rad,theta_rad,psi_rad,target_x_mm,target_y_mm,target_z_mm,target_phi_rad,target_theta_rad,target_psi_rad,collision,min_clearance_mm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,2.5105259382520745e-15,791.1,-3.141592653589793,-1.5707963267948966,0.0,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,144.99999999999997
1,0.008403361344537815,-0.9799367053225877,0.14083988327352803,-1.6111011035796188,-0.001128623376109363,0.8867440402207583,-0.47002411970274977,432.5996123872187,-7.3995504448743965,800.9262002189329,2.4452114505412794,-1.5577067153518969,0.6792359020629088,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,142.33873037984287
2,0.01680672268907563,-1.9598734106451754,0.28167976654705607,-3.2222022071592376,-0.002257246752218726,1.7734880804415165,-0.9400482394054995,431.83418109413776,-14.777289260354188,810.7166234440379,2.4280499853718567,-1.544617660335113,0.6791677013289176,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,139.59366840274956
3,0.025210084033613446,-2.9398101159677634,0.42251964982058415,-4.833303310738857,-0.00338587012832809,2.660232120662275,-1.4100723591082494,430.7055108032967,-22.118865482975608,820.4652843489408,2.410849613745803,-1.5315297183135184,0.679054021479418,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,136.8652114866017
4,0.03361344537815126,-3.919746821290351,0.5633595330941121,-6.444404414318475,-0.004514493504437452,3.546976160883033,-1.880096478810999,429.21600931623306,-29.41003167197505,830.1662236296735,2.3936103191780385,-1.51844344614165,0.678894844574314,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,134.09037470379198
5,0.04201680672268908,-4.899683526612939,0.7041994163676402,-8.055505517898094,-0.005643116880546816,4.4337202011037915,-2.3501205985137488,427.3686822349573,-36.636669167876306,839.8135118805283,2.376332078588419,-1.5053594011025175,0.6786901454958177,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,131.10730219711627
6,0.05042016806722689,-5.879620231935527,0.8450392996411683,-9.666606621477714,-0.00677174025665618,5.32046424132455,-2.8201447182164987,425.1671265783348,-43.78481309335469,849.4012534502518,2.3590148623007297,-1.4922781410506591,0.6784398919467833,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,128.15169196859046
7,0.058823529411764705,-6.859556937258114,0.9858791829146962,-11.277707725057333,-0.007900363632765542,6.2072082815453085,-3.2901688379192486,422.6155233455172,-50.84067705136146,858.9235902760403,2.3416586340413916,-1.4792002245554003,0.6781440444486216,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,125.23265158693056
8,0.06722689075630252,-7.839493642580702,1.1267190661882243,-12.88880882863695,-0.009028987008874905,7.093952321766066,-3.760192957621998,419.7186290404685,-57.790677476053695,868.374705692817,2.324263350937921,-1.4661262110443603,0.677802556338768,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,122.22829999210472
9,0.07563025210084033,-8.819430347903289,1.2675589494617523,-14.49990993221657,-0.01015761038498427,7.9806963619868245,-4.230217077324748,416.4817661735105,-64.62145759271932,877.7488282152941,2.306828963517166,-1.4530566609472577,0.6774153737677249,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,119.05670314198153
10,0.08403361344537816,-9.799367053225877,1.4083988327352803,-16.11101103579619,-0.011286233761093632,8.867440402207583,-4.7002411970274975,412.91081275766896,-71.3199109436106,887.0402352903245,2.28935541570331,-1.4399921358400654,0.676982435695728,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,115.93823030319882
11,0.09243697478991597,-10.779303758548465,1.5492387160088084,-17.722112139375806,-0.012414857137202995,9.754184442428341,-5.170265316730247,409.0121908194128,-77.87320443739962,896.2432570170869,2.271842644815715,-1.426933198589559,0.6765036738890258,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,112.88478054011745
12,0.10084033613445378,-11.759240463871054,1.6900785992823366,-19.333213242955427,-0.01354348051331236,10.6409284826491,-5.640289436432997,404.79285394516637,-84.26880088084977,905.3522798326524,2.254290581566587,-1.4138804134983136,0.6759790129158372,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,109.56396926034063
13,0.1092436974789916,-12.739177169193642,1.8309184825558646,-20.944314346535045,-0.014672103889421723,11.527672522869858,-6.110313556135747,400.26027388671355,-90.4944809522487,914.3617501605175,2.236699150058537,-1.4008343464501898,0.6754083701419943,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,106.27053027500355
14,0.11764705882352941,-13.719113874516228,1.9717583658293925,-22.555415450114666,-0.015800727265531084,12.414416563090617,-6.580337675838497,395.4224262503167,-96.53836457717684,923.2661780196994,2.2190682677820535,-1.3877955650563605,0.6747916557263163,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,103.06748946647505
15,0.12605042016806722,-14.699050579838817,2.1125982491029207,-24.166516553694283,-0.01692935064164045,13.301160603311375,-7.050361795541247,390.28777529602723,-102.38893166828333,932.0601405920272,2.2013978456129335,-1.374764638801923,0.6741287726157638,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,99.66136593879403
16,0.13445378151260504,-15.678987285161403,2.2534381323764485,-25.7776176572739,-0.01805797401774981,14.187904643532132,-7.520385915243996,384.8652578752693,-108.03504219190938,940.7382857452831,2.1836877878097214,-1.3617421391931437,0.6734196165404008,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,96.23231523105261
17,0.14285714285714285,-16.65892399048399,2.3942780156499768,-27.38871876085352,-0.019186597393859174,15.07464868375289,-7.990410034946746,379.16426653633704,-113.46595552563505,949.2953355098794,2.1659379920111985,-1.3487286399053784,0.6726640760082302,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,92.92841570956534
18,0.15126050420168066,-17.638860695806578,2.5351178989235046,-28.99981986443314,-0.02031522076996854,15.961392723973649,-8.460434154649496,373.19463182894367,-118.67134907212602,957.7260895067848,2.1481483492339826,-1.335724716931715,0.6718620322999471,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,89.35838748331722
19,0.15966386554621848,-18.618797401129168,2.6759577821970324,-30.610920968012756,-0.0214438441460779,16.848136764194408,-8.930458274352246,366.9666038404063,-123.6413360960194,966.0254283244531,2.130318743870302,-1.3227309487323768,0.671013359463661,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,85.85681223546625
