family,variant,metric,value
flat_192,1,top1_acc,0.111
flat_192,2,top1_acc,0.1422
flat_192,3,top1_acc,0.1416
branch,1,joint_acc,0.262
branch,1,shoulder_acc,0.5965
branch,1,elbow_acc,0.6915
branch,1,wrist_acc,0.59375
branch,2,joint_acc,0.30675
branch,2,shoulder_acc,0.6155
branch,2,elbow_acc,0.69225
branch,2,wrist_acc,0.62275
branch,3,joint_acc,0.30375
branch,3,shoulder_acc,0.6115
branch,3,elbow_acc,0.6835
branch,3,wrist_acc,0.62175
fine_16,1,top1_acc,0.198
fine_16,1,top3_acc,0.5295
fine_16,2,top1_acc,0.40625
fine_16,2,top3_acc,0.805
fine_16,3,top1_acc,0.4425
fine_16,3,top3_acc,0.8325
